mcc,mcc_description,mcc_segment,mcc_segment_description
3299,WIDERO’S FLYVESELSKAP,1,Airlines
3029,SABENA,1,Airlines
3033,ANSETT AIRLINES,1,Airlines
3110,WINGS AIRWAYS,1,Airlines
3154,PRINCEVILLE,1,Airlines
3196,HAWAIIAN AIR,1,Airlines
3259,AMERICAN TRANS AIR,1,Airlines
3025,AIR NEW ZEALAND,1,Airlines
3005,BRITISH AIRWAYS,1,Airlines
3133,SUNBELT AIRLINES,1,Airlines
3111,BRITISH MIDLAND,1,Airlines
3171,CANADIAN AIRLINES INTERNATIONAL,1,Airlines
3220,COMPANIA FAUCETT,1,Airlines
3025,AIR NEW ZEALAND,1,Airlines
3164,NORONTAIR,1,Airlines
3190,JUGOSLAV AIR,1,Airlines
3006,JAPAN AIRLINES,1,Airlines
3038,KUWAIT AIRLINES,1,Airlines
3008,LUFTHANSA,1,Airlines
3036,VASP (BRAZIL),1,Airlines
3005,BRITISH AIRWAYS,1,Airlines
3013,ALITALIA,1,Airlines
3151,AIR ZAIRE,1,Airlines
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,1,Airlines
3014,SAUDIA ARABIAN AIRLINES,1,Airlines
3031,OLYMPIC AIRWAYS,1,Airlines
3037,EGYPTAIR,1,Airlines
3034,AUSTRAINLIAN AIRLINES,1,Airlines
3130,SUN WORLD INTERNATIONAL,1,Airlines
3176,METROFLIGHT AIRLINES,1,Airlines
3144,VIRGIN ATLANTIC,1,Airlines
3016,SAS,1,Airlines
3035,TAP (PORTUGAL),1,Airlines
3219,COPA,1,Airlines
3243,AUSTRIAN AIR SERVICE,1,Airlines
3242,AVENSA,1,Airlines
3253,AMERICA WEST,1,Airlines
3146,LUXAIR,1,Airlines
3197,HAVASU AIRLINES,1,Airlines
3238,BEMIDJI AIRLINES,1,Airlines
3017,SOUTH AFRICAN AIRWAYS,1,Airlines
3125,TAN,1,Airlines
3240,BAHAMASAIR,1,Airlines
3262,"RENO AIR, INC.",1,Airlines
3241,AVIATECA (GUATEMALA),1,Airlines
3007,AIR FRANCE,1,Airlines
3042,FINNAIR,1,Airlines
3218,CROWN AIR,1,Airlines
3252,ALM,1,Airlines
3287,AERO COACH AVAIATION,1,Airlines
3286,AEROLINEAS NICARAGUENSIS,1,Airlines
3021,AIR ALGERIE,1,Airlines
3023,MEXICANA,1,Airlines
3036,VASP (BRAZIL),1,Airlines
3009,AIR CANADA,1,Airlines
3023,MEXICANA,1,Airlines
3029,SABENA,1,Airlines
3112,WINDWARD ISLAND,1,Airlines
3182,LOT (POLAND),1,Airlines
3292,CYPRUS AIRWAYS,1,Airlines
3020,AIR-INDIA,1,Airlines
3159,PBA,1,Airlines
3138,SIMMONS AIRLINES,1,Airlines
3002,PAN AMERICAN,1,Airlines
3204,FREEDOM AIR,1,Airlines
3294,ETHIOPIAN AIRLINES,1,Airlines
3284,AERO VIRGIN ISLANDS,1,Airlines
3009,AIR CANADA,1,Airlines
3015,SWISSAIR,1,Airlines
3020,AIR-INDIA,1,Airlines
3032,EL AL,1,Airlines
3039,AVIANCA,1,Airlines
3118,VALLEY AIRLINES,1,Airlines
3004,TRANS WORLD AIRLINES,1,Airlines
3016,SAS,1,Airlines
3002,PAN AMERICAN,1,Airlines
3000,UNITED AIRLINES,1,Airlines
3001,AMERICAN AIRLINES,1,Airlines
3228,CAYMAN AIRWAYS,1,Airlines
3008,LUFTHANSA,1,Airlines
3038,KUWAIT AIRLINES,1,Airlines
3181,MALEV,1,Airlines
3200,FUYANA AIRWAYS,1,Airlines
3280,AIR JAMAICA,1,Airlines
3291,ARIANA AFGHAN,1,Airlines
3011,AEORFLOT,1,Airlines
3127,TACA INTERNATIONAL,1,Airlines
3216,CUMBERLAND AIRLINES,1,Airlines
3256,ALASKA AIRLINES,1,Airlines
3022,PHILIPPINE AIRLINES,1,Airlines
3126,TALAIR,1,Airlines
3143,SCENIC AIRLINES,1,Airlines
3217,CSA,1,Airlines
3065,AIRINTER,1,Airlines
3075,SINGAPORE AIRLINES,1,Airlines
3078,CHINA AIRLINES,1,Airlines
3089,TRANSAERO,1,Airlines
3053,AVIACO (SPAIN),1,Airlines
3094,ZAMBIA AIRWAYS,1,Airlines
3076,AEROMEXICO,1,Airlines
3085,"MIDWEST EXPRESS AIRLINES, INC.",1,Airlines
3050,ICELANDAIR,1,Airlines
3047,THY (TURKEY),1,Airlines
3088,CROATIA AIRLINES,1,Airlines
3048,ROYAL AIR MAROC,1,Airlines
3083,AIR AFRIGUE,1,Airlines
3066,SOUTHWEST,1,Airlines
3061,CONTINENTAL,1,Airlines
3081,NORDAIR,1,Airlines
3049,TUNIS AIR,1,Airlines
3062,WESTERN,1,Airlines
3056,QUEBECAIRE,1,Airlines
3055,LAB (BOLIVIA),1,Airlines
3082,KOREAN AIRLINES,1,Airlines
3051,AUSTRIAN AIRLINES,1,Airlines
3044,AIR LANKA,1,Airlines
3045,NIGERIA AIRWAYS,1,Airlines
3077,THAI AIRWAYS,1,Airlines
3087,METRO AIRLINES,1,Airlines
3057,EASTWEST AIRLINES (AUSTRALIA),1,Airlines
3071,AIR BRITISH COLUBIA,1,Airlines
3096,AIR ZIMBABWE,1,Airlines
3060,NORTHWEST,1,Airlines
3058,DELTA,1,Airlines
3046,CRUZEIRO DO SUL (BRAZIJ),1,Airlines
3084,EVA AIRLINES,1,Airlines
3052,LANCHILE,1,Airlines
3063,US AIR,1,Airlines
3099,CATHAY PACIFIC,1,Airlines
3054,LADECO (CHILE),1,Airlines
3040,GULF AIR (BAHRAIN),1,Airlines
3043,AER LINGUS,1,Airlines
3041,BALKAN-BULGARIAN AIRLINES,1,Airlines
3060,NORTHWEST,1,Airlines
3077,THAI AIRWAYS,1,Airlines
3081,NORDAIR,1,Airlines
3099,CATHAY PACIFIC,1,Airlines
3087,METRO AIRLINES,1,Airlines
3144,VIRGIN ATLANTIC,1,Airlines
3186,LAP (PARAGUAY),1,Airlines
3165,NEW YORK HELICOPTER,1,Airlines
3178,MESA AIR,1,Airlines
3293,ECUATORIANA,1,Airlines
3216,CUMBERLAND AIRLINES,1,Airlines
3191,ISLAND AIRLINES,1,Airlines
3243,AUSTRIAN AIR SERVICE,1,Airlines
3235,BROKWAY AIR,1,Airlines
3285,AERO PERU,1,Airlines
3267,AIR PANAMA,1,Airlines
3259,AMERICAN TRANS AIR,1,Airlines
3282,AIR DJIBOUTI,1,Airlines
3298,AIR MAURITIUS,1,Airlines
3055,LAB (BOLIVIA),1,Airlines
3065,AIRINTER,1,Airlines
3076,AEROMEXICO,1,Airlines
3094,ZAMBIA AIRWAYS,1,Airlines
3118,VALLEY AIRLINES,1,Airlines
3135,SUDAN AIRWAYS,1,Airlines
3145,SAN JUAN AIRLINES,1,Airlines
3215,DAN AIR SERVICES,1,Airlines
3251,ALOHA AIRLINES,1,Airlines
3239,BAR HARBOR AIRLINES,1,Airlines
3242,AVENSA,1,Airlines
3292,CYPRUS AIRWAYS,1,Airlines
3103,GARUDA (INDONESIA),1,Airlines
3117,VIASA,1,Airlines
3102,IBERIA,1,Airlines
3182,LOT (POLAND),1,Airlines
3187,LACSA (COSTA RICA),1,Airlines
3171,CANADIAN AIRLINES INTERNATIONAL,1,Airlines
3164,NORONTAIR,1,Airlines
3228,CAYMAN AIRWAYS,1,Airlines
3295,KENYA AIRLINES,1,Airlines
3111,BRITISH MIDLAND,1,Airlines
3100,MALAYSIAN AIRLINE SYSTEM,1,Airlines
3084,EVA AIRLINES,1,Airlines
3184,LIAT,1,Airlines
3233,CAPITOL AIR,1,Airlines
3284,AERO VIRGIN ISLANDS,1,Airlines
3294,ETHIOPIAN AIRLINES,1,Airlines
3078,CHINA AIRLINES,1,Airlines
3057,EASTWEST AIRLINES (AUSTRALIA),1,Airlines
3089,TRANSAERO,1,Airlines
3106,BRAATHENS S.A.F.E. (NORWAY),1,Airlines
3151,AIR ZAIRE,1,Airlines
3218,CROWN AIR,1,Airlines
3054,LADECO (CHILE),1,Airlines
3042,FINNAIR,1,Airlines
3047,THY (TURKEY),1,Airlines
3088,CROATIA AIRLINES,1,Airlines
3133,SUNBELT AIRLINES,1,Airlines
3193,INDIAN AIRLINES,1,Airlines
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,1,Airlines
3262,"RENO AIR, INC.",1,Airlines
3056,QUEBECAIRE,1,Airlines
3050,ICELANDAIR,1,Airlines
3071,AIR BRITISH COLUBIA,1,Airlines
3061,CONTINENTAL,1,Airlines
3146,LUXAIR,1,Airlines
3219,COPA,1,Airlines
3217,CSA,1,Airlines
4511,Airlines and Air Carriers,1,Airlines
3212,DOMINICANA,1,Airlines
3254,TRUMP AIRLINE,1,Airlines
3256,ALASKA AIRLINES,1,Airlines
3052,LANCHILE,1,Airlines
3159,PBA,1,Airlines
3181,MALEV,1,Airlines
3238,BEMIDJI AIRLINES,1,Airlines
3286,AEROLINEAS NICARAGUENSIS,1,Airlines
3044,AIR LANKA,1,Airlines
3075,SINGAPORE AIRLINES,1,Airlines
3083,AIR AFRIGUE,1,Airlines
3137,SINGLETON,1,Airlines
3138,SIMMONS AIRLINES,1,Airlines
3196,HAWAIIAN AIR,1,Airlines
3197,HAVASU AIRLINES,1,Airlines
3062,WESTERN,1,Airlines
3266,AIR SEYCHELLES,1,Airlines
3280,AIR JAMAICA,1,Airlines
3287,AERO COACH AVAIATION,1,Airlines
3293,ECUATORIANA,1,Airlines
3045,NIGERIA AIRWAYS,1,Airlines
3082,KOREAN AIRLINES,1,Airlines
3112,WINDWARD ISLAND,1,Airlines
3130,SUN WORLD INTERNATIONAL,1,Airlines
3220,COMPANIA FAUCETT,1,Airlines
3240,BAHAMASAIR,1,Airlines
3046,CRUZEIRO DO SUL (BRAZIJ),1,Airlines
3049,TUNIS AIR,1,Airlines
3085,"MIDWEST EXPRESS AIRLINES, INC.",1,Airlines
3161,ALL NIPPON AIRWAYS,1,Airlines
3204,FREEDOM AIR,1,Airlines
3252,ALM,1,Airlines
3066,SOUTHWEST,1,Airlines
3096,AIR ZIMBABWE,1,Airlines
3192,IRAN AIR,1,Airlines
3231,SASHA SERVICIO AERO DE HONDURAS,1,Airlines
3234,BWIA,1,Airlines
3241,AVIATECA (GUATEMALA),1,Airlines
3063,US AIR,1,Airlines
3129,SURINAM AIRWAYS,1,Airlines
3154,PRINCEVILLE,1,Airlines
3126,TALAIR,1,Airlines
3176,METROFLIGHT AIRLINES,1,Airlines
3170,NOUNT COOK,1,Airlines
3185,LAV (VENEZUELA),1,Airlines
3203,GOLDEN PACIFIC AIR,1,Airlines
3291,ARIANA AFGHAN,1,Airlines
3053,AVIACO (SPAIN),1,Airlines
3143,SCENIC AIRLINES,1,Airlines
3172,NATIONAIR,1,Airlines
3253,AMERICA WEST,1,Airlines
3048,ROYAL AIR MAROC,1,Airlines
3222,COMMAND AIRWAYS,1,Airlines
3127,TACA INTERNATIONAL,1,Airlines
3200,FUYANA AIRWAYS,1,Airlines
3261,AIR CHINA,1,Airlines
3299,WIDERO’S FLYVESELSKAP,1,Airlines
3051,AUSTRIAN AIRLINES,1,Airlines
3190,JUGOSLAV AIR,1,Airlines
3125,TAN,1,Airlines
3223,COMAIR,1,Airlines
3110,WINGS AIRWAYS,1,Airlines
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS,1,Airlines
3058,DELTA,1,Airlines
7929,"Bands, Orchestras, and Miscellaneous Entertainers - Not Elsewhere Classified",2,Amusement and Entertainment
7922,"Theatrical Producers (except Motion Pictures), and Ticket Agencies",2,Amusement and Entertainment
7832,Motion Picture Theaters,2,Amusement and Entertainment
7994,Video Game Arcades and Establishments,2,Amusement and Entertainment
7829,"Motion Picture, and Video Tape Production and Distribution",2,Amusement and Entertainment
7932,Billiard and Pool Establishments,2,Amusement and Entertainment
7032,Sporting and Recreational Camps,2,Amusement and Entertainment
7841,Video Tape Rental Stores,2,Amusement and Entertainment
7991,Tourist Attractions and Exhibits,2,Amusement and Entertainment
7933,Bowling Alleys,2,Amusement and Entertainment
7033,Trailer Parks and Campgrounds,2,Amusement and Entertainment
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",2,Amusement and Entertainment
4411,Steamship and Cruise Lines,2,Amusement and Entertainment
7992,Public Golf Courses,2,Amusement and Entertainment
7012,Timeshares,2,Amusement and Entertainment
7993,Video Amusement Game Supplies,2,Amusement and Entertainment
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers",2,Amusement and Entertainment
7999,Recreation Services - Not Elsewhere Classified,2,Amusement and Entertainment
7911,"Dance Halls, Studios, and Schools",2,Amusement and Entertainment
7998,"Aquariums, Seaquariums, and Dolphinariums",2,Amusement and Entertainment
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters",2,Amusement and Entertainment
8641,"Civic, Social, and Fraternal Associations",3,Associations
8675,Automobile Associations,3,Associations
8398,Charitable and Social Service Organizations,3,Associations
8661,Religious Organizations,3,Associations
8699,Membership Organizations - Not Elsewhere Classified,3,Associations
8651,Political Organizations,3,Associations
7512,Automobile Rental Agency,4,Auto Rental
5532,Automotive Tire Stores,5,Automobiles and Vehicles
5531,Automobile Supply Stores,5,Automobiles and Vehicles
5532,Automotive Tire Stores,5,Automobiles and Vehicles
5531,Automobile Supply Stores,5,Automobiles and Vehicles
5511,"Car and Truck Dealers (New and Used) - Sales, Service, Repairs, Parts, and Leasing",5,Automobiles and Vehicles
5521,"Car and Truck Dealers (Used Only) - Sales, Service, Repairs, Parts, and Leasing",5,Automobiles and Vehicles
5013,Motor Vehicle Supplies and New Parts,5,Automobiles and Vehicles
5592,Motor Home Dealers,5,Automobiles and Vehicles
5551,Boat Dealers,5,Automobiles and Vehicles
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers - Not Elsewhere Classified",5,Automobiles and Vehicles
5571,Motorcycle Shops and Dealers,5,Automobiles and Vehicles
5533,Auto Parts and Accessories Stores,5,Automobiles and Vehicles
5561,"Camper, Recreational, and Utility Trailer Dealers",5,Automobiles and Vehicles
7332,Blueprinting and Photocopying Services,6,Business Services
7332,Blueprinting and Photocopying Services,6,Business Services
7321,Consumer Credit Reporting Agencies,6,Business Services
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",6,Business Services
7375,Information Retrieval Services,6,Business Services
7393,"Detective Agencies, Protective Agencies, Security Services (including Armored Cars and Guard Dogs)",6,Business Services
7339,Stenographic and Secretarial Support Services,6,Business Services
7361,"Employment Agencies, and Temporary Help Services",6,Business Services
7519,Motor Home and Recreational Vehicle Rentals,6,Business Services
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing",6,Business Services
7322,Debt Collection Agencies,6,Business Services
7513,Truck and Utility Trailer Rentals,6,Business Services
7349,"Cleaning, Maintenance, and Janitorial Services",6,Business Services
7395,"Photo Finishing Laboratories, and Photo Developing",6,Business Services
7342,Exterminating and Disinfecting Services,6,Business Services
7311,Advertising Services,6,Business Services
7338,"Quick Copy, Reproduction, and Blueprinting Services",6,Business Services
7333,"Commercial Photography, Art, and Graphics",6,Business Services
7379,Computer Maintenance and Repair Services – Not Elsewhere Classified,6,Business Services
7392,"Management, Consulting, and Public Relations Services",6,Business Services
7399,Business Services – Not Elsewhere Classified,6,Business Services
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",7,Cleaning Preparations
5697,"Tailors, Seamstresses, Mending, and Alterations",8,Clothing Stores
5655,Sports and Riding Apparel Stores,8,Clothing Stores
5611,Men’s and Boy’s Clothing and Accessory Stores,8,Clothing Stores
5641,Children’s and Infant’s Wear Stores,8,Clothing Stores
5691,Men’s and Women’s Clothing Stores,8,Clothing Stores
5631,Women’s Accessory and Specialty Stores,8,Clothing Stores
5651,Family Clothing Stores,8,Clothing Stores
5699,Miscellaneous Apparel and Accessory Stores,8,Clothing Stores
763,Agricultural Co-Operatives,9,Contracted Services
1750,Carpentry Contractors,9,Contracted Services
742,Veterinary Services,9,Contracted Services
1771,Concrete Work Contractors,9,Contracted Services
1761,"Roofing, Siding, and Sheet Metal Work Contractors",9,Contracted Services
1520,General Contractors - Residential and Commercial,9,Contracted Services
780,Landscaping and Horticultural Services,9,Contracted Services
1731,Electrical Contractors,9,Contracted Services
1711,"Heating, Plumbing, and Air Conditioning Contractors",9,Contracted Services
1740,"Masonry, Stonework, Tile-Setting, Plastering, and Insulation Contractors",9,Contracted Services
1799,Special Trade Contractors - Not Elsewhere Classified,9,Contracted Services
8299,Schools and Educational Services - Not Elsewhere Classified,10,Education
8241,Correspondence Schools,10,Education
8244,Business and Secretarial Schools,10,Education
8211,Elementary and Secondary Schools,10,Education
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",10,Education
8249,Trade and Vocational Schools,10,Education
5542,Automated Fuel Dispensers,11,Gas Stations
5541,Service Stations (with or without Ancillary Services),11,Gas Stations
9211,Court Costs (including Alimony and Child Support),12,Government Services
9311,Tax Payments,12,Government Services
9222,Fines,12,Government Services
9402,Postal Services (Government Only),12,Government Services
9399,Government Services - Not Elsewhere Classified,12,Government Services
5944,Jewelry,18,High Risk Personal Retail
6211,Securities - Brokers and Dealers,18,High Risk Personal Retail
7230,Beauty and Barber Shops,18,High Risk Personal Retail
7261,Funeral Services,18,High Risk Personal Retail
5311,Department Stores,18,High Risk Personal Retail
5681,Furriers,18,High Risk Personal Retail
5698,Wig and Toupee Stores,18,High Risk Personal Retail
5621,Womens Ready To Wear Shoes,18,High Risk Personal Retail
5598,Snowmobile Dealers,18,High Risk Personal Retail
5661,Shoe Stores,18,High Risk Personal Retail
7277,Debt and Marriage Counseling Services,19,High Risk Personal Services
7273,Dating and Escort Services,19,High Risk Personal Services
7995,"Betting (including Lottery tickets, Casino gaming chips, Off-Track Betting, and wagers at Race Tracks)",19,High Risk Personal Services
5933,Pawn Shops,19,High Risk Personal Services
9223,Bail and Bond Payments,19,High Risk Personal Services
7297,Massage Parlors,19,High Risk Personal Services
3513,WESTIN HOTELS,13,Hotels and Motels
3528,RED LION INNS,13,Hotels and Motels
3536,AMFAC HOTELS,13,Hotels and Motels
3558,JOLLY HOTELS,13,Hotels and Motels
3620,TELFORD INTERNATIONAL,13,Hotels and Motels
3646,SWALLOW HOTELS,13,Hotels and Motels
3675,INTERHOTEL CEDOK,13,Hotels and Motels
3682,ALLSTAR INNS,13,Hotels and Motels
3736,COLORADO BELLE/EDGEWATER RESORT,13,Hotels and Motels
3529,CP HOTELS,13,Hotels and Motels
3699,MIDWAY MOTOR LODGE,13,Hotels and Motels
3688,COMPRI HOTELS,13,Hotels and Motels
3726,RIO SUITES,13,Hotels and Motels
3720,SOUTHERN SUN HOTELS,13,Hotels and Motels
3541,HOTEL OKURA,13,Hotels and Motels
3583,SAS HOTELS,13,Hotels and Motels
3639,MOUNT CHARLOTTE THISTLE,13,Hotels and Motels
3661,METROPOLE HOTELS,13,Hotels and Motels
3681,ADAMS MARK HOTELS,13,Hotels and Motels
3659,TAJ HOTELS INTERNATIONAL,13,Hotels and Motels
3707,SHONEY’S INNS,13,Hotels and Motels
3666,STAKIS HOTELS,13,Hotels and Motels
3537,ANA HOTEL,13,Hotels and Motels
3592,OMNI HOTELS,13,Hotels and Motels
3696,EXEL INNS,13,Hotels and Motels
3727,BROADMOOR HOTEL,13,Hotels and Motels
3745,ST. REGIS HOTEL,13,Hotels and Motels
3503,SHERATON HOTELS,13,Hotels and Motels
3577,MANDARIN ORIENTAL HOTEL,13,Hotels and Motels
3584,PRINCESS HOTELS INTERNATIONAL,13,Hotels and Motels
3655,SCANDIC HOTELS,13,Hotels and Motels
3671,ARCTIA HOTELS,13,Hotels and Motels
3705,SANDMAN INNS,13,Hotels and Motels
3711,FLAG INNS (AUSRALIA),13,Hotels and Motels
3685,BUDGETEL HOTELS,13,Hotels and Motels
3502,BEST WESTERN HOTELS,13,Hotels and Motels
3626,PRINCE HOTELS,13,Hotels and Motels
3575,VAGABOND HOTELS,13,Hotels and Motels
3581,DELTA HOTEL,13,Hotels and Motels
3574,VENTURE INNS,13,Hotels and Motels
3637,RAMADA LIMITED,13,Hotels and Motels
3643,STEIGENBERGER HOTELS,13,Hotels and Motels
3697,FARFIELD HOTELS,13,Hotels and Motels
3686,SUISSE CHALETS,13,Hotels and Motels
3688,COMPRI HOTELS,13,Hotels and Motels
3702,THE REGISTRY HOTELS,13,Hotels and Motels
3675,INTERHOTEL CEDOK,13,Hotels and Motels
3747,CLUBCORP/CLUB RESORTS,13,Hotels and Motels
3746,THE ELIOT HOTEL,13,Hotels and Motels
3709,SUPER8 MOTELS,13,Hotels and Motels
3510,DAYSTOP,13,Hotels and Motels
3509,MARRIOTT HOTELS,13,Hotels and Motels
3540,IBEROTEL HOTELS,13,Hotels and Motels
3603,NOAH’S HOTELS,13,Hotels and Motels
3638,HOWARD JOHNSON,13,Hotels and Motels
3668,MARITIM HOTELS,13,Hotels and Motels
3672,CAMPANIEL HOTELS,13,Hotels and Motels
3714,FOUR SEASONS HOTEL (AUSTRALIA),13,Hotels and Motels
3670,ARCARD HOTELS,13,Hotels and Motels
3508,QUALITY SUITES,13,Hotels and Motels
3530,RENAISSANCE HOTELS,13,Hotels and Motels
3533,HOTEL IBIS,13,Hotels and Motels
3552,COAST HOTELS,13,Hotels and Motels
3640,HYATT HOTEL,13,Hotels and Motels
3645,QUEENS MOAT HOUSES,13,Hotels and Motels
3692,DOUBLETREE HOTELS,13,Hotels and Motels
3696,EXEL INNS,13,Hotels and Motels
3700,MOTEL 6,13,Hotels and Motels
3672,CAMPANIEL HOTELS,13,Hotels and Motels
3739,WOODSIDE HOTELS AND RESORTS,13,Hotels and Motels
3622,MERLIN HOTELS,13,Hotels and Motels
3664,FLAG INN,13,Hotels and Motels
3702,THE REGISTRY HOTELS,13,Hotels and Motels
3687,CLARION HOTELS,13,Hotels and Motels
3668,MARITIM HOTELS,13,Hotels and Motels
3750,CROWNE PLAZA HOTELS,13,Hotels and Motels
3510,DAYS INN,13,Hotels and Motels
3542,ROYAL HOTELS,13,Hotels and Motels
3590,FAIRMONT HOTELS,13,Hotels and Motels
3593,CUNARD HOTELS,13,Hotels and Motels
3649,RADISSON HOTELS,13,Hotels and Motels
3673,IBUSZ HOTELS,13,Hotels and Motels
3722,WYNDHAM HOTEL AND RESORTS,13,Hotels and Motels
3725,SEAINES PLANATION,13,Hotels and Motels
3679,DANUBIUS HOTEL,13,Hotels and Motels
3661,METROPOLE HOTELS,13,Hotels and Motels
3658,OTANI HOTELS,13,Hotels and Motels
3694,ECONOMY INNS OF AMERICA,13,Hotels and Motels
3684,BUDGET HOST INNS,13,Hotels and Motels
3528,RED LION HOTELS,13,Hotels and Motels
3545,SHANGRI-LA INTERNATIONAL,13,Hotels and Motels
3635,RESO HOTELS,13,Hotels and Motels
3677,CLIMAT DE FRANCE HOTELS,13,Hotels and Motels
3660,KNIGHTS INNS,13,Hotels and Motels
3723,RICA HOTELS,13,Hotels and Motels
3719,PROTEA HOTELS,13,Hotels and Motels
3527,DOWNTOWNER-PASSPORT HOTEL,13,Hotels and Motels
3644,ECONO LODGES,13,Hotels and Motels
3654,LOEWS HOTELS,13,Hotels and Motels
3653,PENTA HOTELS,13,Hotels and Motels
3685,BUDGETEL HOTELS,13,Hotels and Motels
3693,DRURY INNS,13,Hotels and Motels
3677,CLIMAT DE FRANCE HOTELS,13,Hotels and Motels
3756,SOUTH SEAS RESORTS,13,Hotels and Motels
3732,OPRYLAND HOTEL,13,Hotels and Motels
3835,MASTERS ECONOMY INNS,13,Hotels and Motels
3741,MILLENIUM BROADWAY HOTEL,13,Hotels and Motels
3508,QUALITY INNS,13,Hotels and Motels
3507,FRIENDSHIP INNS,13,Hotels and Motels
3522,TOKYO HOTEL,13,Hotels and Motels
3534,SOUTHERN PACIFIC HOTELS,13,Hotels and Motels
3565,RELAX INNS,13,Hotels and Motels
3550,REGAL 8 INNS,13,Hotels and Motels
3637,RAMADA INNS,13,Hotels and Motels
3648,DE VERE HOTELS,13,Hotels and Motels
3657,OBEROI HOTELS,13,Hotels and Motels
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),13,Hotels and Motels
3715,FARIFIELD INN,13,Hotels and Motels
3706,SHILO INNS,13,Hotels and Motels
3737,RIVIERA HOTEL AND CASINO,13,Hotels and Motels
